Parameter,Object,Writable,Value,Value type
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1,true,false,,
Device.WiFi.DataElements.Network.Device.1.Radio.1,true,false,,
Device.WiFi.DataElements.Network.Device.1.Radio.1.Name,false,false,wlan0,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Name,false,false,wlan0,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.1.Interface,false,false,wlan0,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Interface,false,false,wlan0,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.1.Status,false,false,Up,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Status,false,false,Up,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.1.Band,false,false,2.4GHz,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Band,false,false,2.4GHz,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.1.OperatingFrequencyBand,false,false,2.4GHz,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.OperatingFrequencyBand,false,false,2.4GHz,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.1.Channel,false,false,1,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Channel,false,false,1,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.Radio.1.Bandwidth,false,false,40MHz,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Bandwidth,false,false,40MHz,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.1.OperatingChannelBandwidth,false,false,40MHz,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.OperatingChannelBandwidth,false,false,40MHz,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.1.CurrentOperatingChannelBandwidth,false,false,40MHz,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.CurrentOperatingChannelBandwidth,false,false,40MHz,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.1.FrequencyMHz,false,false,2412,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.FrequencyMHz,false,false,2412,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.Radio.1.OperatingStandards,false,false,802.11n/ax,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.OperatingStandards,false,false,802.11n/ax,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.1.TransmitPower,false,false,18,xsd:int
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.TransmitPower,false,false,18,xsd:int
Device.WiFi.DataElements.Network.Device.1.Radio.1.Utilization,false,false,92.6,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Utilization,false,false,92.6,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.Radio.1.ChannelUtilization,false,false,92.6,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.ChannelUtilization,false,false,92.6,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.Radio.1.Noise,false,false,-86.3,xsd:int
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Noise,false,false,-86.3,xsd:int
Device.WiFi.DataElements.Network.Device.1.Radio.1.BSSNumberOfEntries,false,false,1,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.BSSNumberOfEntries,false,false,1,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.Radio.1.STANumberOfEntries,false,false,6,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.STANumberOfEntries,false,false,6,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.Radio.1.Stats,true,false,,
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Stats,true,false,,
Device.WiFi.DataElements.Network.Device.1.Radio.1.Stats.BytesSent,false,false,728420698,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Stats.BytesSent,false,false,728420698,xsd:unsignedLong
Device.WiFi.DataElements.Network.Device.1.Radio.1.Stats.BytesReceived,false,false,19557817,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Stats.BytesReceived,false,false,19557817,xsd:unsignedLong
Device.WiFi.DataElements.Network.Device.1.Radio.1.Stats.PacketsSent,false,false,6551756,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Stats.PacketsSent,false,false,6551756,xsd:unsignedLong
Device.WiFi.DataElements.Network.Device.1.Radio.1.Stats.PacketsReceived,false,false,8008461,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Stats.PacketsReceived,false,false,8008461,xsd:unsignedLong
Device.WiFi.DataElements.Network.Device.1.Radio.1.Stats.ErrorsSent,false,false,67,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Stats.ErrorsSent,false,false,67,xsd:unsignedLong
Device.WiFi.DataElements.Network.Device.1.Radio.1.Stats.ErrorsReceived,false,false,90,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.1.Stats.ErrorsReceived,false,false,90,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2,true,false,,
Device.WiFi.DataElements.Network.Device.1.Radio.2,true,false,,
Device.WiFi.DataElements.Network.Device.1.Radio.2.Name,false,false,wlan2,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Name,false,false,wlan2,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.2.Interface,false,false,wlan2,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Interface,false,false,wlan2,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.2.Status,false,false,Up,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Status,false,false,Up,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.2.Band,false,false,5GHz,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Band,false,false,5GHz,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.2.OperatingFrequencyBand,false,false,5GHz,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.OperatingFrequencyBand,false,false,5GHz,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.2.Channel,false,false,36,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Channel,false,false,36,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.Radio.2.Bandwidth,false,false,80MHz,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Bandwidth,false,false,80MHz,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.2.OperatingChannelBandwidth,false,false,80MHz,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.OperatingChannelBandwidth,false,false,80MHz,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.2.CurrentOperatingChannelBandwidth,false,false,80MHz,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.CurrentOperatingChannelBandwidth,false,false,80MHz,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.2.FrequencyMHz,false,false,5180,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.FrequencyMHz,false,false,5180,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.Radio.2.OperatingStandards,false,false,802.11ac/ax,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.OperatingStandards,false,false,802.11ac/ax,xsd:string
Device.WiFi.DataElements.Network.Device.1.Radio.2.TransmitPower,false,false,20,xsd:int
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.TransmitPower,false,false,20,xsd:int
Device.WiFi.DataElements.Network.Device.1.Radio.2.Utilization,false,false,84.9,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Utilization,false,false,84.9,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.Radio.2.ChannelUtilization,false,false,84.9,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.ChannelUtilization,false,false,84.9,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.Radio.2.Noise,false,false,-88.3,xsd:int
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Noise,false,false,-88.3,xsd:int
Device.WiFi.DataElements.Network.Device.1.Radio.2.BSSNumberOfEntries,false,false,1,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.BSSNumberOfEntries,false,false,1,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.Radio.2.STANumberOfEntries,false,false,6,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.STANumberOfEntries,false,false,6,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.Radio.2.Stats,true,false,,
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Stats,true,false,,
Device.WiFi.DataElements.Network.Device.1.Radio.2.Stats.BytesSent,false,false,728544154,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Stats.BytesSent,false,false,728544154,xsd:unsignedLong
Device.WiFi.DataElements.Network.Device.1.Radio.2.Stats.BytesReceived,false,false,19903495,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Stats.BytesReceived,false,false,19903495,xsd:unsignedLong
Device.WiFi.DataElements.Network.Device.1.Radio.2.Stats.PacketsSent,false,false,6551867,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Stats.PacketsSent,false,false,6551867,xsd:unsignedLong
Device.WiFi.DataElements.Network.Device.1.Radio.2.Stats.PacketsReceived,false,false,8008683,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Stats.PacketsReceived,false,false,8008683,xsd:unsignedLong
Device.WiFi.DataElements.Network.Device.1.Radio.2.Stats.ErrorsSent,false,false,44,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Stats.ErrorsSent,false,false,44,xsd:unsignedLong
Device.WiFi.DataElements.Network.Device.1.Radio.2.Stats.ErrorsReceived,false,false,59,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Radio.2.Stats.ErrorsReceived,false,false,59,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client,true,false,,
Device.WiFi.DataElements.Network.Device.1.STA,true,false,,
Device.WiFi.AccessPoint.1,true,false,,
Device.WiFi.AccessPoint.1.Status,false,false,Enabled,xsd:string
Device.WiFi.AccessPoint.1.SSIDReference,false,false,Device.WiFi.SSID.1,xsd:string
Device.WiFi.AccessPoint.1.AssociatedDevice,true,false,,
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1,true,false,,
Device.WiFi.DataElements.Network.Device.1.STA.1,true,false,,
Device.WiFi.AccessPoint.1.AssociatedDevice.1,true,false,,
Device.WiFi.DataElements.Network.Device.1.STA.1.Hostname,false,false,PORTATIL_SARA,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.1.HostName,false,false,PORTATIL_SARA,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.1.MACAddress,false,false,DE:AD:BE:EF:00:01,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.1.IPAddress,false,false,192.168.1.21,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.1.ConnectedDevice,false,false,AP_SALON,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.1.ConnectedAgent,false,false,AP_SALON,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.1.ConnectedBand,false,false,5GHz,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.1.ConnectedRadio,false,false,wlan2,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.1.SSID,false,false,SaraMesh-5G,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.1.BSSID,false,false,AA:BB:CC:10:01:01,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.1.SignalStrength,false,false,-50.8,xsd:int
Device.WiFi.DataElements.Network.Device.1.STA.1.RSSI,false,false,-50.8,xsd:int
Device.WiFi.DataElements.Network.Device.1.STA.1.Noise,false,false,-88.3,xsd:int
Device.WiFi.DataElements.Network.Device.1.STA.1.SNR,false,false,37.5,xsd:int
Device.WiFi.DataElements.Network.Device.1.STA.1.MCS,false,false,MCS11,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.1.LastDataDownlinkRate,false,false,411.5,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.STA.1.LastDataUplinkRate,false,false,255.1,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.STA.1.ThroughputDownlinkMbps,false,false,68.4,xsd:decimal
Device.WiFi.DataElements.Network.Device.1.STA.1.ThroughputUplinkMbps,false,false,23.2,xsd:decimal
Device.WiFi.DataElements.Network.Device.1.STA.1.LatencyMs,false,false,25.3,xsd:decimal
Device.WiFi.DataElements.Network.Device.1.STA.1.JitterMs,false,false,7.1,xsd:decimal
Device.WiFi.DataElements.Network.Device.1.STA.1.PacketLossPercent,false,false,2.15,xsd:decimal
Device.WiFi.DataElements.Network.Device.1.STA.1.RetryRatePercent,false,false,8.9,xsd:decimal
Device.WiFi.DataElements.Network.Device.1.STA.1.QoEScore,false,false,61,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.STA.1.QoEState,false,false,Media,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.1.QoEReason,false,false,"radio cargada, perdida de paquetes",xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.1.BytesSent,false,false,653373930,xsd:unsignedLong
Device.WiFi.DataElements.Network.Device.1.STA.1.BytesReceived,false,false,89291934,xsd:unsignedLong
Device.WiFi.DataElements.Network.Device.1.STA.1.LastConnectTime,false,false,2026-07-01T07:49:22Z,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.1.LastSeenSeconds,false,false,0,xsd:unsignedInt
Device.WiFi.DataElements.Network.Device.1.STA.1.RoamCount,false,false,0,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.Hostname,false,false,PORTATIL_SARA,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.HostName,false,false,PORTATIL_SARA,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.MACAddress,false,false,DE:AD:BE:EF:00:01,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.IPAddress,false,false,192.168.1.21,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.ConnectedDevice,false,false,AP_SALON,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.ConnectedAgent,false,false,AP_SALON,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.ConnectedBand,false,false,5GHz,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.ConnectedRadio,false,false,wlan2,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.SSID,false,false,SaraMesh-5G,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.BSSID,false,false,AA:BB:CC:10:01:01,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.SignalStrength,false,false,-50.8,xsd:int
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.RSSI,false,false,-50.8,xsd:int
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.Noise,false,false,-88.3,xsd:int
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.SNR,false,false,37.5,xsd:int
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.MCS,false,false,MCS11,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.LastDataDownlinkRate,false,false,411.5,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.LastDataUplinkRate,false,false,255.1,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.ThroughputDownlinkMbps,false,false,68.4,xsd:decimal
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.ThroughputUplinkMbps,false,false,23.2,xsd:decimal
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.LatencyMs,false,false,25.3,xsd:decimal
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.JitterMs,false,false,7.1,xsd:decimal
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.PacketLossPercent,false,false,2.15,xsd:decimal
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.RetryRatePercent,false,false,8.9,xsd:decimal
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.QoEScore,false,false,61,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.QoEState,false,false,Media,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.QoEReason,false,false,"radio cargada, perdida de paquetes",xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.BytesSent,false,false,653373930,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.BytesReceived,false,false,89291934,xsd:unsignedLong
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.LastConnectTime,false,false,2026-07-01T07:49:22Z,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.LastSeenSeconds,false,false,0,xsd:unsignedInt
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.1.RoamCount,false,false,0,xsd:unsignedInt
Device.WiFi.AccessPoint.1.AssociatedDevice.1.MACAddress,false,false,DE:AD:BE:EF:00:01,xsd:string
Device.WiFi.AccessPoint.1.AssociatedDevice.1.SignalStrength,false,false,-50.8,xsd:int
Device.WiFi.AccessPoint.1.AssociatedDevice.1.LastDataDownlinkRate,false,false,411.5,xsd:unsignedInt
Device.WiFi.AccessPoint.1.AssociatedDevice.1.LastDataUplinkRate,false,false,255.1,xsd:unsignedInt
Device.WiFi.AccessPoint.1.AssociatedDevice.1.SSIDReference,false,false,Device.WiFi.SSID.1,xsd:string
Device.WiFi.AccessPoint.1.AssociatedDevice.1.OperatingStandard,false,false,802.11ax,xsd:string
Device.WiFi.AccessPoint.1.AssociatedDevice.1.Active,false,false,true,xsd:boolean
Device.WiFi.AccessPoint.1.AssociatedDevice.1.Stats,true,false,,
Device.WiFi.AccessPoint.1.AssociatedDevice.1.Stats.BytesSent,false,false,653373930,xsd:unsignedLong
Device.WiFi.AccessPoint.1.AssociatedDevice.1.Stats.BytesReceived,false,false,89291934,xsd:unsignedLong
Device.WiFi.AccessPoint.1.AssociatedDevice.1.Stats.RetryCount,false,false,89,xsd:unsignedLong
Device.Hosts.Host.1,true,false,,
Device.Hosts.Host.1.HostName,false,false,PORTATIL_SARA,xsd:string
Device.Hosts.Host.1.PhysAddress,false,false,DE:AD:BE:EF:00:01,xsd:string
Device.Hosts.Host.1.IPAddress,false,false,192.168.1.21,xsd:string
Device.Hosts.Host.1.ClientID,false,false,DE:AD:BE:EF:00:01,xsd:string
Device.Hosts.Host.1.Active,false,false,true,xsd:boolean
Device.Hosts.Host.1.InterfaceType,false,false,Wi-Fi,xsd:string
InternetGatewayDevice.X_SARA_EasyMesh.Agent.1.Client.2,true,false,,
Device.WiFi.DataElements.Network.Device.1.STA.2,true,false,,
Device.WiFi.AccessPoint.1.AssociatedDevice.2,true,false,,
Device.WiFi.DataElements.Network.Device.1.STA.2.Hostname,false,false,MOVIL_SARA,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.2.HostName,false,false,MOVIL_SARA,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.2.MACAddress,false,false,DE:AD:BE:EF:00:02,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.2.IPAddress,false,false,192.168.1.34,xsd:string
Device.WiFi.DataElements.Network.Device.1.STA.2.ConnectedDevice,false,false,AP_SALON,xsd:string
